particle,mode,computed_mass_MeV,reference_mass_MeV,ratio_computed_to_reference,relative_error_percent,abs_log_error,error_factor,dependency_class,cleanliness_status,raw_row_json
b,ARCHIVE_CANONICAL_SPECTRUM,,,,,,,reference_spectrum_execution,REFERENCE_TABLE,"{""mode"": ""ARCHIVE_CANONICAL_SPECTRUM"", ""particle"": ""b"", ""sector"": ""heavy_quark"", ""mass_calc"": ""4180.0"", ""unit"": ""MeV"", ""reference"": ""4180.0"", ""reference_unit"": ""MeV"", ""relative_error"": ""0.0"", ""factor_error"": ""1.0"", ""source"": ""MetaTheory archive canonical spectrum table / v3.8 extraction"", ""std"": """"}"
t,ARCHIVE_CANONICAL_SPECTRUM,,,,,,,reference_spectrum_execution,REFERENCE_TABLE,"{""mode"": ""ARCHIVE_CANONICAL_SPECTRUM"", ""particle"": ""t"", ""sector"": ""heavy_quark"", ""mass_calc"": ""172760.0"", ""unit"": ""MeV"", ""reference"": ""172760.0"", ""reference_unit"": ""MeV"", ""relative_error"": ""0.0"", ""factor_error"": ""1.0"", ""source"": ""MetaTheory archive canonical spectrum table / v3.8 extraction"", ""std"": """"}"
e,ARCHIVE_NOPARAMSM_ENSEMBLE,,,,,,,archive_solver_execution,FORMULA_EXECUTION_DEPENDENCY_AUDIT_REQUIRED,"{""mode"": ""ARCHIVE_NOPARAMSM_ENSEMBLE"", ""particle"": ""e"", ""sector"": ""fermion"", ""mass_calc"": ""0.511000473017599"", ""unit"": ""MeV"", ""reference"": ""0.5109989461"", ""reference_unit"": ""MeV"", ""relative_error"": ""2.988103225417267e-06"", ""factor_error"": ""1.0000029881032255"", ""source"": ""NoParamSM/noparamSMsolver.py archived formula, fixed seed execution"", ""std"": ""6.821109178180643e-05""}"
mu,ARCHIVE_NOPARAMSM_ENSEMBLE,,,,,,,archive_solver_execution,FORMULA_EXECUTION_DEPENDENCY_AUDIT_REQUIRED,"{""mode"": ""ARCHIVE_NOPARAMSM_ENSEMBLE"", ""particle"": ""mu"", ""sector"": ""fermion"", ""mass_calc"": ""105.65853212361435"", ""unit"": ""MeV"", ""reference"": ""105.6583745"", ""reference_unit"": ""MeV"", ""relative_error"": ""1.4918232000279279e-06"", ""factor_error"": ""1.0000014918232"", ""source"": ""NoParamSM/noparamSMsolver.py archived formula, fixed seed execution"", ""std"": ""0.007051934618109742""}"
tau,ARCHIVE_NOPARAMSM_ENSEMBLE,,,,,,,archive_solver_execution,FORMULA_EXECUTION_DEPENDENCY_AUDIT_REQUIRED,"{""mode"": ""ARCHIVE_NOPARAMSM_ENSEMBLE"", ""particle"": ""tau"", ""sector"": ""fermion"", ""mass_calc"": ""1776.8613243905934"", ""unit"": ""MeV"", ""reference"": ""1776.86"", ""reference_unit"": ""MeV"", ""relative_error"": ""7.453544980929501e-07"", ""factor_error"": ""1.0000007453544981"", ""source"": ""NoParamSM/noparamSMsolver.py archived formula, fixed seed execution"", ""std"": ""0.05929625208316172""}"
u,ARCHIVE_NOPARAMSM_ENSEMBLE,,,,,,,archive_solver_execution,FORMULA_EXECUTION_DEPENDENCY_AUDIT_REQUIRED,"{""mode"": ""ARCHIVE_NOPARAMSM_ENSEMBLE"", ""particle"": ""u"", ""sector"": ""fermion"", ""mass_calc"": ""2.160006454302967"", ""unit"": ""MeV"", ""reference"": ""2.16"", ""reference_unit"": ""MeV"", ""relative_error"": ""2.988103225348087e-06"", ""factor_error"": ""1.0000029881032253"", ""source"": ""NoParamSM/noparamSMsolver.py archived formula, fixed seed execution"", ""std"": ""0.0002883292800761849""}"
d,ARCHIVE_NOPARAMSM_ENSEMBLE,,,,,,,archive_solver_execution,FORMULA_EXECUTION_DEPENDENCY_AUDIT_REQUIRED,"{""mode"": ""ARCHIVE_NOPARAMSM_ENSEMBLE"", ""particle"": ""d"", ""sector"": ""fermion"", ""mass_calc"": ""4.668878446467293"", ""unit"": ""MeV"", ""reference"": ""4.67"", ""reference_unit"": ""MeV"", ""relative_error"": ""-0.0002401613560400757"", ""factor_error"": ""1.0002402190473723"", ""source"": ""NoParamSM/noparamSMsolver.py archived formula, fixed seed execution"", ""std"": ""0.08454725121905561""}"
s,ARCHIVE_NOPARAMSM_ENSEMBLE,,,,,,,archive_solver_execution,FORMULA_EXECUTION_DEPENDENCY_AUDIT_REQUIRED,"{""mode"": ""ARCHIVE_NOPARAMSM_ENSEMBLE"", ""particle"": ""s"", ""sector"": ""fermion"", ""mass_calc"": ""93.49355699622123"", ""unit"": ""MeV"", ""reference"": ""93.5"", ""reference_unit"": ""MeV"", ""relative_error"": ""-6.890913132374505e-05"", ""factor_error"": ""1.0000689138801193"", ""source"": ""NoParamSM/noparamSMsolver.py archived formula, fixed seed execution"", ""std"": ""0.31200146181837396""}"
c,ARCHIVE_NOPARAMSM_ENSEMBLE,,,,,,,archive_solver_execution,FORMULA_EXECUTION_DEPENDENCY_AUDIT_REQUIRED,"{""mode"": ""ARCHIVE_NOPARAMSM_ENSEMBLE"", ""particle"": ""c"", ""sector"": ""fermion"", ""mass_calc"": ""1270.0"", ""unit"": ""MeV"", ""reference"": ""1270.0"", ""reference_unit"": ""MeV"", ""relative_error"": ""0.0"", ""factor_error"": ""1.0"", ""source"": ""NoParamSM/noparamSMsolver.py archived formula, fixed seed execution"", ""std"": ""0.0""}"
b,ARCHIVE_NOPARAMSM_ENSEMBLE,,,,,,,archive_solver_execution,FORMULA_EXECUTION_DEPENDENCY_AUDIT_REQUIRED,"{""mode"": ""ARCHIVE_NOPARAMSM_ENSEMBLE"", ""particle"": ""b"", ""sector"": ""fermion"", ""mass_calc"": ""4180.0"", ""unit"": ""MeV"", ""reference"": ""4180.0"", ""reference_unit"": ""MeV"", ""relative_error"": ""0.0"", ""factor_error"": ""1.0"", ""source"": ""NoParamSM/noparamSMsolver.py archived formula, fixed seed execution"", ""std"": ""0.0""}"
t,ARCHIVE_NOPARAMSM_ENSEMBLE,,,,,,,archive_solver_execution,FORMULA_EXECUTION_DEPENDENCY_AUDIT_REQUIRED,"{""mode"": ""ARCHIVE_NOPARAMSM_ENSEMBLE"", ""particle"": ""t"", ""sector"": ""fermion"", ""mass_calc"": ""173000.0"", ""unit"": ""MeV"", ""reference"": ""173000.0"", ""reference_unit"": ""MeV"", ""relative_error"": ""0.0"", ""factor_error"": ""1.0"", ""source"": ""NoParamSM/noparamSMsolver.py archived formula, fixed seed execution"", ""std"": ""0.0""}"
W,ARCHIVE_EXTENDED_MONOLITH_BOSON_ENSEMBLE,,,,,,,archive_solver_execution,FORMULA_EXECUTION_DEPENDENCY_AUDIT_REQUIRED,"{""mode"": ""ARCHIVE_EXTENDED_MONOLITH_BOSON_ENSEMBLE"", ""particle"": ""W"", ""sector"": ""boson"", ""mass_calc"": ""80121.60005017034"", ""unit"": ""MeV"", ""reference"": ""80377.0"", ""reference_unit"": ""MeV"", ""relative_error"": ""-0.0031775252849653712"", ""factor_error"": ""1.003187654136584"", ""source"": ""NoParamSM/noparamSMextended.py archived formula, fixed seed execution"", ""std"": ""5914.990149698626""}"
Z,ARCHIVE_EXTENDED_MONOLITH_BOSON_ENSEMBLE,,,,,,,archive_solver_execution,FORMULA_EXECUTION_DEPENDENCY_AUDIT_REQUIRED,"{""mode"": ""ARCHIVE_EXTENDED_MONOLITH_BOSON_ENSEMBLE"", ""particle"": ""Z"", ""sector"": ""boson"", ""mass_calc"": ""90895.43608990703"", ""unit"": ""MeV"", ""reference"": ""91187.0"", ""reference_unit"": ""MeV"", ""relative_error"": ""-0.0031974284721831983"", ""factor_error"": ""1.0032076848149403"", ""source"": ""NoParamSM/noparamSMextended.py archived formula, fixed seed execution"", ""std"": ""6710.370346918926""}"
Higgs,ARCHIVE_EXTENDED_MONOLITH_BOSON_ENSEMBLE,,,,,,,archive_solver_execution,FORMULA_EXECUTION_DEPENDENCY_AUDIT_REQUIRED,"{""mode"": ""ARCHIVE_EXTENDED_MONOLITH_BOSON_ENSEMBLE"", ""particle"": ""Higgs"", ""sector"": ""boson"", ""mass_calc"": ""124690.35922813445"", ""unit"": ""MeV"", ""reference"": ""125100.0"", ""reference_unit"": ""MeV"", ""relative_error"": ""-0.0032745065696686945"", ""factor_error"": ""1.0032852641888381"", ""source"": ""NoParamSM/noparamSMextended.py archived formula, fixed seed execution"", ""std"": ""9205.286041903382""}"
p,ARCHIVE_EXTENDED_MONOLITH_NUCLEON_ENSEMBLE,,,,,,,archive_solver_execution,FORMULA_EXECUTION_DEPENDENCY_AUDIT_REQUIRED,"{""mode"": ""ARCHIVE_EXTENDED_MONOLITH_NUCLEON_ENSEMBLE"", ""particle"": ""p"", ""sector"": ""nucleon"", ""mass_calc"": ""939.6970285714644"", ""unit"": ""MeV"", ""reference"": ""938.27208816"", ""reference_unit"": ""MeV"", ""relative_error"": ""0.0015186857090237781"", ""factor_error"": ""1.0015186857090237"", ""source"": ""NoParamSM/noparamSMextended.py archived formula, fixed seed execution"", ""std"": ""67.52290560502323""}"
n,ARCHIVE_EXTENDED_MONOLITH_NUCLEON_ENSEMBLE,,,,,,,archive_solver_execution,FORMULA_EXECUTION_DEPENDENCY_AUDIT_REQUIRED,"{""mode"": ""ARCHIVE_EXTENDED_MONOLITH_NUCLEON_ENSEMBLE"", ""particle"": ""n"", ""sector"": ""nucleon"", ""mass_calc"": ""940.9923250968367"", ""unit"": ""MeV"", ""reference"": ""939.56542052"", ""reference_unit"": ""MeV"", ""relative_error"": ""0.0015186857090238469"", ""factor_error"": ""1.001518685709024"", ""source"": ""NoParamSM/noparamSMextended.py archived formula, fixed seed execution"", ""std"": ""67.61598048166316""}"
16O,ARCHIVE_EXTENDED_MONOLITH_BINDING_ENSEMBLE,,,,,,,archive_solver_execution,FORMULA_EXECUTION_DEPENDENCY_AUDIT_REQUIRED,"{""mode"": ""ARCHIVE_EXTENDED_MONOLITH_BINDING_ENSEMBLE"", ""particle"": ""16O"", ""sector"": ""binding_per_nucleon"", ""mass_calc"": ""7.698720525234863"", ""unit"": ""MeV_per_nucleon"", ""reference"": ""7.976"", ""reference_unit"": ""MeV_per_nucleon"", ""relative_error"": ""-0.03476422702672224"", ""factor_error"": ""1.0360163060675174"", ""source"": ""NoParamSM/noparamSMextended.py archived formula, fixed seed execution"", ""std"": ""0.23261350428135988""}"
56Fe,ARCHIVE_EXTENDED_MONOLITH_BINDING_ENSEMBLE,,,,,,,archive_solver_execution,FORMULA_EXECUTION_DEPENDENCY_AUDIT_REQUIRED,"{""mode"": ""ARCHIVE_EXTENDED_MONOLITH_BINDING_ENSEMBLE"", ""particle"": ""56Fe"", ""sector"": ""binding_per_nucleon"", ""mass_calc"": ""8.81970779512507"", ""unit"": ""MeV_per_nucleon"", ""reference"": ""8.79"", ""reference_unit"": ""MeV_per_nucleon"", ""relative_error"": ""0.003379726407857988"", ""factor_error"": ""1.0033797264078579"", ""source"": ""NoParamSM/noparamSMextended.py archived formula, fixed seed execution"", ""std"": ""0.2664836488396988""}"
208Pb,ARCHIVE_EXTENDED_MONOLITH_BINDING_ENSEMBLE,,,,,,,archive_solver_execution,FORMULA_EXECUTION_DEPENDENCY_AUDIT_REQUIRED,"{""mode"": ""ARCHIVE_EXTENDED_MONOLITH_BINDING_ENSEMBLE"", ""particle"": ""208Pb"", ""sector"": ""binding_per_nucleon"", ""mass_calc"": ""7.853529951786771"", ""unit"": ""MeV_per_nucleon"", ""reference"": ""7.867"", ""reference_unit"": ""MeV_per_nucleon"", ""relative_error"": ""-0.001712221712626012"", ""factor_error"": ""1.0017151584441546"", ""source"": ""NoParamSM/noparamSMextended.py archived formula, fixed seed execution"", ""std"": ""0.23729100401498326""}"
